cenario_id,fluxo,cenario,resumo_dado_quando_entao,perfil_teste,ambiente,status_execucao,severidade,resultado_esperado,resultado_obtido,evidencia,defeito_id,observacoes,executado_por,executado_em
1.1,Settings,Navegação por abas e comandos rápidos,"Dado /settings; Quando navega por tabs, breadcrumb, dropdown e command; Então troca de aba sem perda de estado",ADMIN,local,Pendente,Media,"Troca de aba consistente sem erro visual/console",,, ,,,
1.2,Settings,Empresas persistência API,"Dado aba Empresas; Quando cria/edita empresa válida; Então persiste e reaparece após refresh",ADMIN,local,Pendente,Alta,"Dados persistidos após recarregar",,, ,,,
2.1,Operacional,Matrícula individual em turma,"Dado turma ativa; Quando adiciona aluno com campos obrigatórios; Então aluno é criado/vinculado",ADMIN,local,Pendente,Alta,"Aluno aparece na turma após reload",,, ,,,
2.2,Operacional,Vínculo e remoção de instrutor,"Dado turma selecionada; Quando vincula e remove instrutor; Então estado persiste",ADMIN,local,Pendente,Alta,"Vínculo/desvínculo refletido após recarga",,, ,,,
3.1,Documentos,Validação de documento obrigatório,"Dado aluno pendente; Quando aprova documento; Então status e agregados atualizam",COLLABORATOR,local,Pendente,Alta,"Documento aprovado e status mantido",,, ,,,
3.2,Documentos,Notificação de pendência,"Dado aluno pendente; Quando envia notificação; Então retorna feedback sem travar",COLLABORATOR,local,Pendente,Media,"Operação concluída com feedback coerente",,, ,,,
4.1,Pagamentos,Confirmação PF com PIN,"Dado pagamento PF pendente; Quando confirma com PIN; Então status pago e recibo",ADMIN,local,Pendente,Alta,"Pagamento confirmado e recibo disponível",,, ,,,
4.2,Pagamentos,Confirmação PJ exige NF,"Dado pagamento PJ; Quando confirma sem NF; Então bloqueia; Quando informa NF; Então confirma",ADMIN,local,Pendente,Critica,"Bloqueio sem NF e sucesso com NF",,, ,,,
4.3,Pagamentos,Lote PJ exige NF,"Dado seleção de PJ em lote; Quando aprova sem NF; Então bloqueia",ADMIN,local,Pendente,Critica,"Lote só conclui com NF válida",,, ,,,
5.1,Portal Cliente,Login sem exposição de credenciais,"Dado /portal-cliente; Quando abre tela; Então não há login/senha de demo em UI",CLIENT_PJ,local,Pendente,Critica,"Sem credenciais visíveis em tela",,, ,,,
5.2,Portal Cliente,Gate de autorização dashboard PJ,"Dado usuário não autenticado/role inválida; Quando abre /portal-cliente/dashboard; Então redireciona",COLLABORATOR,local,Pendente,Critica,"Acesso negado e redirecionamento correto",,, ,,,
5.3,Portal Cliente,Importação/aprovação com companyId da sessão,"Dado PJ logado; Quando importa e aprova alunos; Então persiste com companyId da sessão",CLIENT_PJ,local,Pendente,Alta,"Alunos vinculados à empresa correta",,, ,,,
6.1,Regressão,Rota /settings,"Dado usuário autorizado; Quando abre /settings; Então sem erro fatal",ADMIN,local,Pendente,Media,"Página renderiza e opera normalmente",,, ,,,
6.2,Regressão,Rota /operacional,"Dado usuário autorizado; Quando abre /operacional; Então sem erro fatal",ADMIN,local,Pendente,Media,"Página renderiza e opera normalmente",,, ,,,
6.3,Regressão,Rota /documents,"Dado usuário autorizado; Quando abre /documents; Então sem erro fatal",COLLABORATOR,local,Pendente,Media,"Página renderiza e opera normalmente",,, ,,,
6.4,Regressão,Rota /pagamentos,"Dado usuário autorizado; Quando abre /pagamentos; Então sem erro fatal",ADMIN,local,Pendente,Media,"Página renderiza e opera normalmente",,, ,,,
6.5,Regressão,Rota /portal-cliente,"Dado acesso público; Quando abre /portal-cliente; Então tela de login funciona sem vazar credenciais",CLIENT_PJ,local,Pendente,Alta,"Login seguro e funcional",,, ,,,
6.6,Regressão,Rota /portal-cliente/dashboard,"Dado CLIENT_PJ autenticado; Quando abre dashboard; Então fluxo normal",CLIENT_PJ,local,Pendente,Alta,"Dashboard renderiza e permite operações",,, ,,,
